Vilfredo, Pareto
Wilhelm, Reich
Wilhelm, Wundt
Willard, Van Orman Quine
William, of Ockham
William, James
Xenophanes, of Colophon
Xenophon,
Abu, Yusuf Yaqub al-Kindi
Zeno, of Citium
Zeno, of Elea
Zerah, Colburn
Ziya, Onis
Zoroaster,
