No, Doubt
Norah, Jones
Ocean, Colour Scene
Oscar, Peterson
Otis, Redding
PJ, Harvey
Papa, Roach
Pat, Benatar
Pato, Banton
Patsy, Cline
Patty, Griffin
Paul, McCartney
Paul, Simon
Paul, Weller
Pearl, Jam
Peggy, Lee
Pete, Townshend
Peter, Frampton
Phil, Collins
Phil, Manzanera
Quincy, Jones
Ray, Charles
Reba, McEntire
Richie, Havens
Rick, James
Rick, Nelson
Rick, Ross
Rick, Wakeman
Ringo, Starr
Rob, Zombie
Robbie, Williams
Robert, Cray
Robert, Glasper
Robert, Palmer
Robert, Plant
Rod, Stewart
Roger, Daltrey
Ronnie, Lane
Ronnie, Wood
Rory, Gallagher
Rosanne, Cash
Roy, Orbison
Ruff, Ryders
Rufus, Wainwright
Saint, Etienne
Sam, Cooke
Sam, Hunt
Sam, Smith
Sammy, Hagar
Sandy, Denny
Scott, Walker
Secret, Garden
Sensational, Alex Harvey Band
Serge, Gainsbourg
Sergio, Mendes
Shania, Twain
Sheryl, Crow
Slick, Rick
Smokey, Robinson
Snoop, Dogg
Soft, Cell
Sonic, Youth
Sonny, Boy Williamson
Soul, II Soul
Spandau, Ballet
Spice, Girls
Stan, Getz
Status, Quo
Steel, Pulse
Steely, Dan
Stereo, MCs
Steve, Earle
Steve, Hackett
Steve, Hillage
Steve, Miller Band
Steve, Winwood
Steven, Tyler
Stevie, Wonder
Suzanne, Vega
Take, That
Tammi, Terrell
Tangerine, Dream
Taylor, Swift
Tears, For Fears
Teena, Marie
Thelma, Houston
Thelonious, Monk
Thin, Lizzy
Thomas, Rhett
Three, Dog Night
Tim, McGraw
Toby, Keith
Tom, Jones
Tom, Petty
Tom, Waits
Tori, Amos
Traveling, Wilburys
Van, der Graaf Generator
Vince, Gill
Wes, Montgomery
Wet, Wet Wet
Willie, Nelson
